pk,caste,community
1,Marar,1
2,Ezhava,4
3,Muslim,4
4,Blacksmith,4
5,Goldsmith,4
7,Carpenter,4
8,Viswakarma,4
9,Pulaya,2
10,Paraya,2
11,Paanan,2
12,Saiva Vellala,4
13,Vannan,2
14,RCSC,1
15,Malankara,1
16,Jacobite,1
17,Parava,2
18,Bhandari,4
20,Velaan,5
21,Malayaraya,3
22,Paravan,2
23,Uraly,3
24,Cheramar,5
25,Velan,2
26,Pentacost,1
27,Pulayan,2
28,Kusavan,5
30,Sambavan,2
31,Vellala,4
32,Orthodox,1
33,Kollan,4
34,Vilakkithala Nair,1
35,Mappila,4
36,Nil,1
37,Brahmin,1
40,Anglo Indian,4
43,Malai Arayan,3
44,Latin Catholic,4
45,Namboothiri,1
46,Ganaka,4
48,Kudumbi,5
49,Pillai,1
50,Nair,1
51,Warrier,1
53,Ulladan,3
54,Parayan,2
55,Islam,4
56,Muthuvan,3
57,Veera Saiva,4
58,C S I,1
59,Kumbaran,5
60,Kakkala,2
61,Veeda Samudayam,2
62,Veluthedathu Nair,1
63,Pallan,2
64,Mannan,3
65,Pandaran,4
66,Chakkiliya,2
67,Boyan,1
68,Kurava,2
69,Marthommite,1
70,Vanian,4
89,Vanika Vaisya,4
90,Arunthathiar,2
91,Nadar,4
92,Shiva Vellala,4
