St. Joseph's Church, Nellikuzhy, 2
St. Joseph's Church, Nellimattam, 2
St. Joseph The Worker Church, Neriamangalam, 2
St. Sebastian's Church, Neyyassery, 2
St. Joseph's Church, Njarakad, 2
St. Antony's Church, Njayappilly, 2
Little Flower Forane Church, Oonnukal, 2
St. Mary's Church, Ottalloor, 2
St. Antony's Forane Church, Paingottoor, 2
Little Flower Church, Pallickamury, 2
St. Sebastian's Church, Pannimattam, 2
St. Joseph's Church, Parapuzha, 2
St. Mary's Church, Pareekanny, 2
BVM Assum. Church, Pazhamapillichal, 2
St. George Church, Peringassery, 2
St. Joseph's Church, Peringuzha, 2
St. George Church, Perumanoor, 2
St. Joseph's Church, Perumpallichira, 2
St. Pious X Church, Perumballoor, 2
Sts. Peter & Paul Church, Ponnamthanam, 2
St. Geroge Church, Pooyamkutty, 2
St. Francis Xavier Church, Pothanikad, 2
St. Alphonsa's Church, Pulickathotty, 2
St. Sebastian's Church, Puliyanpara, 2
St. Sebastian's Church, Punnamattam, 2
St. Sebastian's Church, Purapuzha, 2
Christuraj Church, Rajagiri (Vellallu), 2
St. Micheals Church, Randar, 2
BVM Lourdes Church, Thalayanad, 2
St. Sebastian's Church, Thattakuzha, 2
St. George Church, Thazhuvamkunnu, 2
BVM Fatima Church, Thennathoor, 2
St. Sebastian's Church, Thodupuzha, 2
Vijnana Matha Church, Thodupuhza East, 2
St. Thomas Church, Thommankuth, 2
St. George & Sebastian's Church, Thottakara, 2
St. Thomas Church, Thrikariyoor, 2
St. Sebastian's Church, Udumbannoor, 2
St. Alphonsa's Church, Uppukunnu, 2
St. Jude Church, Urulanthanny, 2
St. Sebastian's Church, Vadakode, 2
St. Mary's Church, Vadattupara, 2
St. George Church, Vandamattam, 2
Mar Sleeva Church, Vannapuram, 2
BVM Rosary Church, Vazhakala, 2
St. George Church, Vazhakulam, 2
St. Maxi. Kolbe Church, Vazhappilly East, 2
St. Joseph's Forane Church, Velielchal, 2
St. Sebastian's Church, Vettampara, 2
St. Francis Sales Church, Vettimattam, 2
St. George Cathedral Kothamangalam, 2
St. Thomas More Church, Alakode, 2
St. Mary's Church, Ambikapuram, 2
St. Martin De Porres Church, Anchiri, 2
